ID pregunta,Historia inglés,Pregunta inglés,Respuesta inglés,Historia español,
b3b26c6fa49fe84b4a87eeeb052866831d858edf.2,"But market reforms haven't been kind to the historic shipyards {of Gdansk}, where the Solidarity Union movement began with union leader and future Polish president, Lech Walesa. Marching with him was Brunom Baranowski, a shipyard worker for more than 30 years who spent nearly a year in jail for civil disobedience for his role in the union.",What shipyard is struggling to survive ?,of Gdansk,"Pero las reformas de mercado no han sido amables con los astilleros históricos {de Gdansk}, donde el movimiento Unión Solidaria comenzó con el líder sindical y futuro presidente polaco, Lech Walesa. Marchando con él fue Brunom Baranowski, un trabajador de astilleros durante más de 30 años que pasó casi un año en la cárcel por desobediencia civil por su papel en el sindicato.",
e62614b710de2d91dee869657b758c2401e45d81.5,"Investigators searching suspected shooter {Abdo Ibssa's} home found medicine for psychotic problems and a note indicating that Ibssa believed a doctor at the hospital had placed an electronic chip inside him during a 2001 appendectomy, Knoxville Police Chief Sterling Owen IV told reporters Tuesday.",Who shot three women outside a hospital ?,Abdo Ibssa 's,"Los investigadores que buscaban a un presunto tirador en la casa de {Abdo Ibssa} encontraron medicamentos para problemas psicóticos y una nota que indicaba que Ibssa creía que un médico del hospital había colocado un chip electrónico dentro de él durante una apendicectomía de 2001, el jefe de policía de Knoxville, Sterling Owen IV, dijo a los reporteros el martes.",
04b723f93cd3b06cafcb4b2f6e0355d28c8006ba.2,Coleman told police he left the house at 5:43 a.m. the day of the deaths and drove to a {gym} to work out. Watch report of Coleman's actions after deaths »,Where did Chris Coleman say he went before the slayings took place ?,gym,Coleman le dijo a la policía que salió de la casa a las 5:43 a.m. el día de las muertes y condujo a un {gimnasio} para trabajar.,
77fdb05b5dcd10ec899df6ddfc4b3122026a548d.8,"For the past 12 years, Peñaflorida and his team of teen volunteers have taught {basic reading and writing to children living on the streets}. Their main tool: A pushcart classroom.","what did 10,000 members taught ?",basic reading and writing to children living on the streets,"Durante los últimos 12 años, Peñaflorida y su equipo de adolescentes voluntarios han enseñado {lectura básica y escritura a niños que viven en la calle}. Su principal herramienta: Un aula de pushcart.",
638dbc218a90322c25e9e4c04d6a7f3ad568515e.4,"The boat overturned Monday {off Turks and Caicos}, a British territory about 550 miles southeast of Miami, Florida.",Where did boat capsise ?,off Turks and Caicos,"El barco volcó el lunes {frente a las Islas Turcas y Caicos}, un territorio británico a unas 550 millas al sureste de Miami, Florida.",
dec7868d0ac94fc993d0b112a082c867b20767f4.1,"To strengthen accountability, all aspects of CEO compensation should be voted on by {shareholders} on an annual basis.",Who does Fiorina say should vote on pay packages ?,shareholders,"Para reforzar la rendición de cuentas, todos los aspectos de la compensación del CEO deben ser votados anualmente por los {accionistas}.",
499eb1ffbae6b5042b16158fd12e98bb74dbdd5f.7,"Homeland Security Secretary {Janet Napolitano} told CNN's ""American Morning"" on Monday that officials would review how anti-terrorist watch lists are maintained.",who says that air marshals are assigned randomly,Janet Napolitano,"{Janet Napolitano}, Secretaria de Seguridad Nacional, dijo el lunes a la ""Mañana Americana"" de CNN que los funcionarios revisarían cómo se mantienen las listas de vigilancia antiterrorista.",
d0912f63112be8069398b3f6c926c727469f1191.3,"KATHMANDU, Nepal (CNN) -- Two people were killed and about {a dozen} others were injured when a bomb exploded in a Catholic church in Kathmandu on Saturday morning, police said.",how many more injured,a dozen,"KATHMANDU, Nepal (CNN) - Dos personas murieron y {una docena} más resultaron heridas cuando una bomba explotó en una iglesia católica en Katmandú el sábado por la mañana, dijo la policía.",
dfcb9914c8e7a11db02207ce69beecf0416bb5c3.4,"(PEOPLE.com) -- {Heather Locklear} was in ""medically stable"" condition at a Thousand Oaks, California, hospital Thursday night with her parents at her side.",who was taken to hospital ?,Heather Locklear,"(PEOPLE.com) -- {Heather Locklear} estaba en condición ""médicamente estable"" en un hospital de Thousand Oaks, California, el jueves por la noche con sus padres a su lado.",
355b22ae338cceea133ad05806fe6ed4256ca3c4.9,A Senate appointment for Caroline Kennedy would {mark a change} for the woman who has rarely run into the glare of political attention.,What would the move do ?,mark a change,Un nombramiento en el Senado para Caroline Kennedy {marcaría un cambio} para la mujer que rara vez se ha topado con el resplandor de la atención política.,
ccee27b87deb37c76b1c76042629af98af24a68b.9,"PlayStation Home, which can be downloaded {free of charge}, will allow PS3 gamers to interact, communicate and share gaming experiences through their own personal ""avatars,"" or three-dimensional virtual representations of themselves.",How much does PlayStation Home cost ?,free of charge,"PlayStation Home, que se puede descargar {de forma gratuita}, permitirá a los jugadores de PS3 interactuar, comunicarse y compartir experiencias de juego a través de sus propios ""avatares"" personales o representaciones virtuales tridimensionales de sí mismos.",
ecff53265a68cecc9591e4e099b2937c5857e881.5,"{The Chandrayaan-1} is carrying payloads from the United States, European Union countries Germany, Britain, Sweden and Bulgaria, and India plans to share the data from the mission with other programs, including NASA. Watch the launch of India's first lunar mission »",What is carrying payloads,The Chandrayaan-1,"{El Chandrayaan-1} está llevando cargas útiles de los Estados Unidos, los países de la Unión Europea Alemania, Gran Bretaña, Suecia y Bulgaria, y la India planea compartir los datos de la misión con otros programas, incluyendo NASA. Vea el lanzamiento de la primera misión lunar de la India »",
5fbfd7512f8e8bcc27fb15d34e43aeb1f0b33f81.3,"Known as the Missouri model, {the program focuses on therapy, comfortable living conditions and an emphasis on job training and education}. Missouri's facilities are serving thousands of young offenders, and they are receiving national acclaim.",What is the Missouri model ?,"the program focuses on therapy , comfortable living conditions and an emphasis on job training and education","Conocido como el modelo de Missouri, {el programa se centra en la terapia, condiciones de vida cómodas y un énfasis en la formación y educación en el trabajo}. Las instalaciones de Missouri están sirviendo a miles de delincuentes jóvenes, y están recibiendo reconocimiento nacional.",
dc804f5062703c3d47ace08fe32a29466fded30f.2,"(CNN) -- A Florida man is using billboards with {an image of the burning World Trade Center} to encourage votes for a Republican presidential candidate, drawing criticism for politicizing the 9/11 attacks.",What did billboards use to encourage GOP votes ?,an image of the burning World Trade Center,"(CNN) -- Un hombre de Florida está usando vallas publicitarias con {una imagen del quema del World Trade Center} para alentar los votos para un candidato presidencial republicano, provocando críticas por politizar los ataques del 11 de septiembre.",Mala traducción. El WTC en llamas.
0cd99d7ebadebe3da6fd3264376c3111dab0dea7.1,"Up until she became pregnant, the {29-year-old} says she had been one of the club's most popular bartenders. Read the complaint",What age is Paviglianiti ?,29-year-old,"Hasta que quedó embarazada, la joven de {29 años} dice que había sido una de las camareras más populares del club.",
ed8a7d5b06b4b5415725e624a15ab5ada7146894.9,"(CNN) -- Author Arthur C. Clarke, {whose science fiction and non-fiction works} ranged from the script for ""2001: A Space Odyssey"" to an early proposal for communications satellites, has died at age 90, associates have said.","Arthur C. Clarke dies in Sri Lanka at age 90 , aide says",whose science fiction and non-fiction works,"(CNN) -- El autor Arthur C. Clarke, {cuyas obras de ciencia ficción y no ficción} van desde el guión de ""2001: Una Odisea Espacial"" hasta una propuesta temprana para satélites de comunicaciones, ha muerto a los 90 años, han dicho los asociados.",
0f4b521ea8984f50b3fbdd306f7dddac332a7620.2,"To find out more about himself and the family members who paved the way for his success, this hall-of-fame inductee followed his roots to {Burnt Corn, Alabama}, the town where his great-grandmother was born. ""I feel like a detective on a hunt trying to find clues,"" he says.",Who did he trace his grandmother to ?,"Burnt Corn , Alabama","Para saber más sobre sí mismo y los miembros de la familia que prepararon el camino para su éxito, este inducto del salón de la fama siguió sus raíces a {Burnt Corn, Alabama}, el pueblo donde nació su bisabuela. ""Me siento como un detective en una cacería tratando de encontrar pistas"", dice.",
65efeaf0f88689efad48b0c11769113e1aedfeb4.7,"The floodwaters were beginning to subside in some areas Monday after a weekend that saw Manila hit with torrential rainfall caused by Typhoon Ketsana, which has since strengthened into a typhoon. Officials said the Philippine capital saw its heaviest rain in more than four decades. The water swallowed whole houses and buses. At least 240 people are dead, officials say. See incredible images {of the flooding} »",What images are you looking for ?,of the flooding,"Las inundaciones comenzaron a disminuir en algunas zonas el lunes después de un fin de semana en el que Manila sufrió lluvias torrenciales causadas por el tifón Ketsana, que desde entonces se ha consolidado en un tifón. Funcionarios dijeron que la capital filipina vio su lluvia más fuerte en más de cuatro décadas. El agua se tragó casas enteras y autobuses. Al menos 240 personas están muertas, dicen los funcionarios. Ver imágenes increíbles {de las inundaciones} »",
d5220a0993178aeb8a37e0023d82b7d3e3a0a5b1.6,"Can you tell me how to get to Sesame Street? -- The classic children's television show 'Sesame Street' turned {40} this week. CNN producers collaborated with iReporters to create a fun video alphabet that would make Jim Henson proud. iReporters of all ages also shared their memories of ""Sesame Street"" and how the show made an impact on their lives.",What is the age of Sesame Street ?,40,"¿Puede decirme cómo llegar a Sesame Street? -- El clásico programa de televisión infantil 'Sesame Street' cumplió {40} años esta semana. Los productores de CNN colaboraron con iReporters para crear un divertido alfabeto de vídeo que haría sentir orgulloso a Jim Henson. iReporters de todas las edades también compartieron sus recuerdos de ""Sesame Street"" y cómo el programa hizo un impacto en sus vidas.",
d4b6efd398203a74ab25f404c315b651f9518704.4,The recall election stems from the bitter battle last winter that saw pro-union protesters camping out in the state Capitol and Democratic senators fleeing the state in an unsuccessful {attempt to halt legislation by Wisconsin Gov. Scott Walker} that some felt was anti-union.,What is the reason for the recall voting ?,attempt to halt legislation by Wisconsin Gov. Scott Walker,Las elecciones revocatorias se derivan de la amarga batalla del invierno pasado que vio a manifestantes pro-sindicales acampando en el Capitolio estatal y senadores demócratas huyendo del estado en un {intento infructuoso de detener la legislación del gobernador de Wisconsin Scott Walker} que algunos consideraban anti-sindical.,Queda «infructuoso» en el medio.
add8cb82b40ae3b8d5dc62d586ed10a348954dcf.3,"Sumwalt said {the captain}, an 11-year veteran of Continental, was injured in the accident and ""not physically able"" to be interviewed yet. But an investigator interviewed the first officer, who told them that the initial take-off roll and taxi was normal. The the co-pilot ""noticed a deviation from the center line of the runway and a sudden left turn,"" Sumwalt said.",Who has n't been interviewed yet ?,the captain,"Sumwalt dijo que {el capitán}, un veterano de 11 años de Continental, fue herido en el accidente y ""no pudo físicamente"" ser entrevistado todavía. Pero un investigador entrevistó al primer oficial, quien les dijo que el primer despegue y el taxi eran normales.El copiloto ""notó una desviación de la línea central de la pista y un súbito giro a la izquierda"", dijo Sumwalt.",
601d1062dbde028eaea2ce7b8a0b62155490d996.9,(CNN) -- {Pele} has denied saying that Manchester City striker Robinho had taken drugs.,Who had denied ?,Pele,(CNN) -- {Pele} ha negado decir que el huelguista de la ciudad de Manchester Robinho había tomado drogas.,
812b30675bdecf60529f277455f7c4e68acc20c7.7,"She is Nancy Pelosi, the {Democratic speaker of the House of Representatives}, the most powerful woman in Washington and lately, a target for Republicans.",What job does Nancy Pelosi hold ?,Democratic speaker of the House of Representatives,"Ella es Nancy Pelosi, la {oradora demócrata de la Cámara de Representantes}, la mujer más poderosa de Washington y últimamente, un objetivo para los republicanos.",
eeef836fec82befa725a09b8028c0de529dd6ad0.2,"Italy's 2006 World Cup-winning coach Marcelo Lippi has stuck with the players who qualified for South Africa in his 30-man squad, resisting suggestions that he should bring in-form Roma striker {Francesco Totti} out of international retirement.",Who did Marcelo Lippi omit from the team ?,Francesco Totti,"El entrenador italiano ganador de la Copa del Mundo 2006 Marcelo Lippi se ha quedado con los jugadores que se clasificó para Sudáfrica en su equipo de 30 hombres, resistiendo las sugerencias de que debería traer en forma delantero Roma {Francesco Totti} fuera de la jubilación internacional.",
3f92bf3cf3f6bdd7e2720861475a193da4193785.9,"Andre Curry, 21, is charged with {aggravated domestic battery}, which is a felony, Chicago police said.",for what is he being charged,aggravated domestic battery,"Andre Curry, de 21 años, está acusado de {agresión doméstica agravada}, lo que es un delito grave, dijo la policía de Chicago.",
dc9dfc4a0dd29ec36f02d1a78ce421d041063012.5,{The arctic blast} that began last weekend has been blamed for at least seven deaths across the nation.,What is the cause of the at least 7 deaths in some areas ?,The arctic blast,{La explosión ártica} que comenzó el fin de semana pasado ha sido culpada por al menos siete muertes en toda la nación.,
b1065861c98843512e6f78bbab7e990c4ab37856.2,"The check-up in New Delhi is likely to take {several hours}, but the Dalai Lama will not be admitted to the hospital, the spokesman said.",How long will the check up take ?,several hours,"El chequeo en Nueva Delhi probablemente llevará {varias horas}, pero el Dalai Lama no será ingresado en el hospital, dijo el portavoz.",
551839469c1133ef4697ed435c5de192e6076858.8,"McCartney and Starr were in Las Vegas with Yoko Ono Lennon and Olivia Harrison, the widows of {John Lennon and George Harrison}, to celebrate the anniversary of Cirque du Soleil's ""Love,"" which uses the Beatles' music.",Who 's widows also appeared ?,John Lennon and George Harrison,"McCartney y Starr estuvieron en Las Vegas con Yoko Ono Lennon y Olivia Harrison, las viudas de {John Lennon y George Harrison}, para celebrar el aniversario del ""Amor"" del Cirque du Soleil, que utiliza la música de los Beatles.",
824d9efb5469b8c61dce6df7304f3338113ad741.8,"""{My judgment on the content of these memos is a matter of record},"" President Obama said in a statement released from the White House.",What did Obama say ?,My judgment on the content of these memos is a matter of record,"""{Mi juicio sobre el contenido de estos memorandos es una cuestión de registro}"", dijo el presidente Obama en una declaración publicada por la Casa Blanca.",
778f812b59cef5312ecd13952657d6fb414408c7.7,"The Padre Anchieta Foundation also happens to boast {the biggest archive of Brazilian music in Brazil}, including more than 15,000 songs dating from the 1920's to the present.",What does foundation boast ?,the biggest archive of Brazilian music in Brazil,"La Fundación Padre Anchieta también cuenta con {el mayor archivo de música brasileña en Brasil}, incluyendo más de 15.000 canciones que datan de la década de 1920 hasta la actualidad.",
3be2072bb1b364fecc4788cabd658a74a15ba9db.7,"A new book, The {Atlas of the Real World}, has redrawn the map giving vivid new insights and bringing economic, social and environmental data to life.",what brings data to life ?,Atlas of the Real World,"Un nuevo libro, El {Atlas del Mundo Real}, ha redibujado el mapa dando nuevas y vívidas ideas y dando vida a los datos económicos, sociales y ambientales.",
90cfb6df2649ef29eb3338fb9d86c86b21a3b23d.6,"""The way {today's working woman} dresses is much more relaxed,"" says Ann Taylor fashion director Kristin Rawson, who stresses that separates are perfectly acceptable--and often more versatile than a suit -- for an interview.",Who should look their best at interviews ?,today 's working woman,"""La forma en que {las mujeres que trabajan hoy en día} se visten es mucho más relajada"", dice la directora de moda de Ann Taylor, Kristin Rawson, quien subraya que las separaciones son perfectamente aceptables, y a menudo más versátiles que un traje, para una entrevista.",
65ac6a35c36c1b10bf12bada19028f7db8605f76.5,"Adkins was not {on the bus}, but five members of his band and crew suffered minor injuries, the country music singer's Web site said.",Where was Adkins not at ?,on the bus,"Adkins no estaba {en el autobús}, pero cinco miembros de su banda y equipo sufrieron heridas menores, dijo el sitio web del cantante de música country.",
f225d5678bb139b4e3d296fd0b5d52c759446078.4,"{Dr. Jorge Mario Gonzales} was found shot to death at his ranch in rural Texas on Saturday, police say.",Who did the police find shot ?,Dr. Jorge Mario Gonzales,"El {Dr. Jorge Mario Gonzales} fue encontrado muerto a tiros en su rancho en el campo de Texas el sábado, según la policía.",
693d73ab049f7d8f3c897922b3f7269a96a1a4fa.5,"(CNN) -- The Iowa {Army National Guard's 1st Battalion}, 133rd Infantry received an emotional welcome home July 25 -- more than a year and a half after leaving for Iraq. More than 600 soldiers marched on the field at Riverfront Stadium in Waterloo, Iowa, in front of thousands of friends and family members.",Who returned to Iowa ?,Army National Guard 's 1st Battalion,"(CNN) -- El {1er Batallón de la Guardia Nacional del Ejército} de Iowa, 133o Infantería recibió una bienvenida emocional a casa el 25 de julio -- más de un año y medio después de partir hacia Irak. Más de 600 soldados marcharon en el campo en el Estadio Riverfront en Waterloo, Iowa, frente a miles de amigos y familiares.",
7b76a0b5e6006587b65ad70ac2e4953ca1e2d4d1.5,U.S. radar picked up the Russian turbo-prop Tupolev-95 planes about 500 miles off the {Alaska} coast.,Where did the Russian planes come near ?,Alaska,El radar estadounidense recogió los aviones turbopropulsados rusos Tupolev-95 a unas 500 millas de la costa de {Alaska}.,
f0851e85725f62ba505a8d62f48e9a9852489acc.5,"Obama's remarks came five days after the administration released {four Bush-era memos detailing the use of terror interrogations such as waterboarding, a technique used to simulate drowning}.",what were released ?,"four Bush-era memos detailing the use of terror interrogations such as waterboarding , a technique used to simulate drowning","Los comentarios de Obama llegaron cinco días después de que la administración publicara {cuatro memorandos de la era Bush en los que se detallaba el uso de interrogatorios terroristas como el submarino, una técnica utilizada para simular ahogamiento}.",
e56b9ec9b7ecfede07d81b3437cdf0f83768ef2f.6,"The 45-year-old won eight caps as a flanker for {England}, and was assistant coach in Clive Woodward's 2003 World Cup-winning set-up before taking over for an ill-fated reign himself in 2004, winning just nine of 22 matches.",Where is Edinburgh ?,England,"El niño de 45 años ganó ocho gorras como flanger para {Inglaterra}, y fue entrenador asistente en la organización ganadora de la Copa del Mundo 2003 de Clive Woodward antes de tomar el relevo para un reinado malcriado él mismo en 2004, ganando sólo nueve de 22 partidos.",
949bd4791ae1d4c721a62ad3408cd222046e9552.1,"(CNN) -- President Obama takes his first foreign trip Thursday, but domestic politics will loom large as he tackles the explosive issue {of protectionism in} a meeting with Canadian Prime Minister Stephen Harper, the leader of the United States' largest trade partner.",What is the big issue referring to ?,of protectionism in,"(CNN) -- El presidente Obama hace su primer viaje al extranjero el jueves, pero la política interna se avecinará mientras aborda el tema explosivo {del proteccionismo en} una reunión con el primer ministro canadiense Stephen Harper, el líder del socio comercial más grande de los Estados Unidos.",
f4d27831501023a8334e03ab1e794553f8dd507e.9,"LAGOS, Nigeria (CNN) -- Nigeria has set its sights on making {multibillion-dollar oil deals with China} amid peace moves with militants.",What deal is Nigeria aiming for ?,multibillion-dollar oil deals with China,"LAGOS, Nigeria (CNN) -- Nigeria ha puesto su mira en hacer {acuerdos petroleros multimillonarios con China} en medio de movimientos de paz con militantes.",
4d97e4bd45ec26182bf99ea245762d7681d8e4c4.3,"Washington (CNN) -- Increased fighting in Afghanistan has caused a {drop in morale} among U.S. soldiers while the reduction in combat in Iraq has bolstered morale, according to a new U.S. Army report released Friday.",what are the results attributed to ?,drop in morale,"Washington (CNN) -- El aumento de los combates en Afganistán ha causado una {caída de la moral} entre los soldados estadounidenses, mientras que la reducción del combate en Irak ha reforzado la moral, según un nuevo informe del Ejército de Estados Unidos publicado el viernes.",
f26220c86b309f3189abb62fb1f62cdc4a71ab94.3,"Chirac could face {a five-year sentence and a fine of 75,000 euros} ($107,500) if found guilty of using the employees to work for his party.",What could Chirac face as a result of the charges ?,"a five-year sentence and a fine of 75,000 euros",Chirac podría enfrentar {una sentencia de cinco años y una multa de 75.000 euros} (107.500 dólares) si se le declara culpable de usar a los empleados para trabajar para su partido.,
10a4591e9ae2712638501acf4c3af619c352bbd8.8,"(CNN) -- Missing Florida pilot Robert Wiles, who was believed kidnapped and held for ransom 21 months ago, now {is believed to be dead}, and a former co-worker is in custody, accused of his death, the FBI said Friday.",What does the FBI say now ?,is believed to be dead,"(CNN) -- Robert Wiles, piloto desaparecido de Florida, que se cree fue secuestrado y retenido por rescate hace 21 meses, ahora {se cree que está muerto}, y un ex compañero de trabajo está bajo custodia, acusado de su muerte, dijo el FBI el viernes.",
2444b8316611d91a220aa8ca835c54882949be58.2,"KABUL, Afghanistan (CNN) -- International troops in Afghanistan endured another deadly attack Tuesday, a day after {10 NATO-led troops} were killed in that country.",Who was killed ?,10 NATO-led troops,"KABUL, Afganistán (CNN) – Las tropas internacionales en Afganistán sufrieron otro ataque mortal el martes, un día después de que {10 tropas dirigidas por la OTAN} fueran asesinadas en ese país.",
aa1cbe64c77e84a4562ea03512fca33a9ed8cc6b.9,This image using {ASTER imagery} shows the Himalayan glaciers in Bhutan.,What took the images ?,ASTER imagery,Esta imagen usando {imágenes de ASTER} muestra los glaciares del Himalaya en Bután.,
ec6e2e5a6cb7d452c1a0b05fd258821780d073f8.1,"Megrahi, the only person convicted in the 1988 bombing of Pan Am flight 103, which killed {270}, was released in 2009. He is now living in Libya.",How many people were killed in the Pan Am 103 bombing ?,270,"Megrahi, la única persona condenada en el bombardeo del vuelo 103 de Pan Am en 1988, que mató a {270}, fue liberada en 2009.",
0d6bbe231f40d0598677bb314e41df1514a81329.2,"HGH has been used since the 1950s to {help children with growth problems}, but it stayed under the radar for other uses until 1990, when Dr. Daniel Rudman reported in the New England Journal of Medicine that men taking a six-month course of HGH reduced their body fat by 14.4 percent while increasing lean muscle mass by 8.8 percent.",What was the HGH used for in the first place ?,help children with growth problems,"HGH se ha utilizado desde los años 50 para {ayudar a los niños con problemas de crecimiento}, pero se mantuvo bajo el radar para otros usos hasta 1990, cuando el Dr. Daniel Rudman informó en el New England Journal of Medicine que los hombres que toman un curso de seis meses de HGH redujo su grasa corporal en 14.4 por ciento mientras aumenta la masa muscular magra en 8.8 por ciento.",
1933230701eb024b59b947a34739e22da5f000a4.1,An Entre dinner party was hosted in a {Missouri hunting lodge}.,Where do the chefs operate ?,Missouri hunting lodge,Una cena de Entre fue organizada en un {pabellón de caza de Missouri}.,
2b7182ca6fd3a34ac44fdcebe03120bfa0bff364.7,"CHICAGO, Illinois (CNN) -- Authorities arrested a man accused of secretly taping ESPN sports reporter {Erin Andrews in the nude and posting the videos on the Internet}, the FBI said Friday.",what says Authorities about Andrews ?,Erin Andrews in the nude and posting the videos on the Internet,"CHICAGO, Illinois (CNN) -- Las autoridades arrestaron a un hombre acusado de grabar en secreto a la reportera deportiva ESPN {Erin Andrews desnuda y publicar los videos en Internet}, dijo el viernes el FBI.",
994341fa7e634d176b3a600ec7d4f6a565d53de5.9,"There were also gongs for Spain's Penelope Cruz, who took home Supporting Actress for her fiery scene-stealing performance as an unhinged artist in Woody Allen's ""Vicky Cristina Barcelona,"" and the late {Heath Ledger} whose chilling reinvention of the Joker in Christopher Nolan's ""The Dark Knight"" was recognized with the Supporting Actor award.",Who won supporting actor awards ?,Heath Ledger,"También hubo gongs para el español Penélope Cruz, que se llevó a casa Actriz de Apoyo por su ardiente actuación robadora de escenas como un artista inmaculado en el ""Vicky Cristina Barcelona"" de Woody Allen, y el difunto {Heath Ledger}, cuya escalofriante reinvención del Joker en el ""The Dark Knight"" de Christopher Nolan fue reconocido con el premio Actor de Apoyo.",
155efa7320c65224d4e65a87c8b1f19517591721.3,"An {independent} candidate running on a proven record of executive leadership, job creation and improving American competitiveness could be a serious presidential candidate this time around. Especially because a new Washington Post/ABC poll shows that 41% of American voters now identify as {independent}s. We are the plurality and provide the balance of power in any election.",what did trump change his party enrolment to,independent,"Un candidato {independiente} con un historial probado de liderazgo ejecutivo, creación de empleo y mejora de la competitividad estadounidense podría ser un candidato presidencial serio esta vez. Especialmente porque una nueva encuesta del Washington Post/ABC muestra que el 41% de los votantes estadounidenses ahora se identifican como independientes. Somos la pluralidad y proporcionamos el equilibrio de poder en cualquier elección.",
515bbb2d7fdc7546c89eed8b98db9f1550966049.4,"A spokeswoman for Nestle said the company's baking division was informed {Monday of the} finding. She said the tainted product was in a 16.5-ounce package that had a day code of 9041 and a ""best before 10 JUN 2009"" on the package.",Was the company 's baking division informed of the finding ?,Monday of the,"Una portavoz de Nestlé dijo que la división de hornear de la compañía fue informada {el lunes del} hallazgo. Ella dijo que el producto contaminado estaba en un paquete de 16.5 onzas que tenía un código de día de 9041 y un ""mejor antes de 10 JUN 2009"" en el paquete.",
e4c6b072f8aa1840f757ba5a6b90fa592175329e.9,"She and Karrubi's son, Hossein, said the newspaper had planned to run a firm response from Karrubi to his {opponents}, who have dismissed the allegations of detainee rapes.",Who was Karrubi going to respond to in the Monday edition ?,opponents,"Ella y el hijo de Karrubi, Hossein, dijeron que el periódico había planeado dirigir una respuesta firme de Karrubi a sus {oponentes}, quienes han desestimado las alegaciones de violaciones de detenidos.",
5b97a507eed113ce329e8c85078fb53033bbe567.7,"BIG SUR, California (CNN) -- Thousands of people living in Paradise are fleeing their small northern California town Wednesday as {wildfires} charge into the area, officials said.",What caused them to be evacuated ?,wildfires,"BIG SUR, California (CNN) -- Miles de personas que viven en el Paraíso huyen de su pequeña ciudad del norte de California el miércoles cuando los {incendios forestales} llegan a la zona, dijeron los funcionarios.",
a2307b5952b3110e4c420956801779a26554f84d.6,"Antonio Cristofaro kept the 40-kilogram (88-pound) reptile on a {terrace of his home near Naples} and fed it live rats and rabbits, according to LAV, an Italian animal rights group.",boss kept 40-kg reptile at his,terrace of his home near Naples,"Antonio Cristofaro mantuvo el reptil de 40 kilos en una {terraza de su casa cerca de Nápoles} y lo alimentó con ratas y conejos vivos, según LAV, un grupo italiano de derechos de los animales.",
feacdb29d6daff7611ede83f64f42e1be234edf1.2,"Philadelphia Mayor Michael Nutter added, ""I'm not sure horrific covers it. This is {sheer madness}.""",What does the mayor call the case,sheer madness,"El alcalde de Filadelfia, Michael Nutter, añadió: ""No estoy seguro de que lo cubra horriblemente. Esto es una {locura total}.",No estaba la traducción del segundo enunciado. 
5e3340e427e927ba2770edf23c3acb4b37fee5d4.6,"According to the Pew survey, 59% of Latino respondents {disapproved of the administration's handling of} deportations, while 27% approved.",did latinos disapprove of increased deportations ?,disapproved of the administration 's handling of,"Según la encuesta Pew, el 59% de los encuestados latinos {desaprobaron el manejo por parte de la administración de} las deportaciones, mientras que el 27% lo aprobó.",Cambié de lugar algunas palabras para poder marcar solo la info pertinente
c249dd1f242b1d7005cb80b05e614adc2dead9d2.9,"(CNN) -- The first guests checked back into the {Taj Mahal Palace} and the Oberoi-Trident hotels Sunday, marking the reopening of the two luxury venues damaged by terrorist attacks in Mumbai last month.",what hotel has reopend,Taj Mahal Palace,"(CNN) -- Los primeros invitados regresaron al {Palacio Taj Mahal} y los hoteles Oberoi-Trident el domingo, con motivo de la reapertura de los dos lugares de lujo dañados por los ataques terroristas en Mumbai el mes pasado.",
172d2668b011501c20181b4925ebb6ba582f9a2f.5,"CHEBARKUL, Russia (Reuters) -- President Vladimir Putin said on Friday {security threats had forced Russia to revive the Soviet-era practice of sending bomber aircraft on regular patrols beyond its borders}.",What did President Putin say ?,security threats had forced Russia to revive the Soviet-era practice of sending bomber aircraft on regular patrols beyond its borders,"CHEBARKUL, Rusia (Reuters) -- El presidente Vladimir Putin dijo el viernes que las {amenazas de seguridad habían obligado a Rusia a revivir la práctica de la era soviética de enviar aviones bombarderos en patrullas regulares más allá de sus fronteras}.",
2185d9ae812b3855ab192649fbcab20846c48849.6,"In the Spanish Primera, the battle for third place intensified as {nine-man} Valencia lost 4-1 at Athletico Madrid.",How many men are on Valencia 's team ?,nine-man,"En la Primera española, la batalla por el tercer lugar se intensificó a medida que Valencia, {con nueve jugadores}, perdió 4-1 en el Athletico Madrid.",Le agregué la información marcada porque no estaba traducido. 
78adf91a4ac5b0a4677d0c139cf1726d80bad77d.1,"""People are all concerned and very sad,"" said Maria Luz de Zyriek, the Guatemalan consul in New York. ""{This is a horrible tragedy}.""",What was said about the arson ?,This is a horrible tragedy,"""Todos están preocupados y muy tristes"", dijo María Luz de Zyriek, cónsul de Guatemala en Nueva York. ""{Esto es una tragedia horrible}"".",
34de9e282b46c8fe5b9191744542571f53691572.1,The England {midfielder} is due to return to the Los Angeles Galaxy in March but playmaker Kaka said Beckham had already shown his star qualities.,What position does Beckham play ?,midfielder,"El {centrocampista} de Inglaterra debe regresar a la Galaxia de Los Ángeles en marzo, pero el playmaker Kaka dijo que Beckham ya había mostrado sus cualidades estelares.",
388820fb4fd6ada8a1993ea074dcd086ab5ee46f.5,"Yet the kids these days appear to dig the ""excesses"" of ""Twilight."" Still, only time will tell if ""New Moon"" will also outsell the current ""best opening day"" titleholder, ""The Dark Knight,"" which grossed ${67.2 million} when it opened July 18, 2008.",What amount does New Moon have to surpass to achieve best opening day ?,67.2 million,"Sin embargo, los niños de estos días parecen cavar los ""excesos"" de ""Crepúsculo"". Sin embargo, sólo el tiempo dirá si ""New Moon"" también superará al actual titular del ""mejor día de apertura"", ""The Dark Knight"", que recaudó ${67.2 millones} cuando abrió sus puertas el 18 de julio de 2008.",
