ID pregunta,Historia ingl�s,Pregunta ingl�s,Respuesta ingl�s,Historia espa�ol,
ffef7f425714f8ce38079b5e93a72ce38c75dc34.1,"Peace activist Alix Bryan, 33, arrived near the ranch here on Saturday afternoon aboard {a motor scooter} that goes about 55 miles per hour -- on 12-inch wheels.","What did Bryan ride for more than 11,000 miles ?",a motor scooter,"El activista por la paz Alix Bryan, de 33 a�os, lleg� cerca del rancho aqu� el s�bado por la tarde a bordo de {una moto} que va a unas 55 millas por hora... con ruedas de 12 pulgadas.",
eb8b1cf7cf4ab7ad23ef6094cfe69348563aecc8.6,"(CNN) -- {Storms that killed two people} in northern Georgia spread Saturday night into South Carolina, where possible tornadoes downed trees, blew roofs off homes and broke power lines, weather forecasters said.",what happened ?,Storms that killed two people,"(CNN) -- {Las tormentas que mataron a dos personas} en el norte de Georgia se extendieron el s�bado por la noche a Carolina del Sur, donde posibles tornados derribaron �rboles, soplaron techos de las casas y rompieron l�neas el�ctricas, dijeron los pronosticadores del tiempo.",
25df0b39c3e35b740c884d5bd995e6d7424dce9f.8,"Shops offered everything from {rocket-shaped lamps, to skateboards, biscuit tins and toys emblazoned with stars and futuristic astronauts}.",what space inspired items have they collected,"rocket-shaped lamps , to skateboards , biscuit tins and toys emblazoned with stars and futuristic astronauts","Las tiendas ofrec�an desde {l�mparas en forma de cohete, hasta patinetas, latas de galletas y juguetes blasonados con estrellas y astronautas futuristas}.",
c7ed3ba86b0e3978955714855a42b4a7d8c67233.8,"{Felix Brinkmann} dances at a 2008 birthday party. ""He was not the kind of guy who had enemies,"" his son says.",Who was strangled to death ?,Felix Brinkmann,"{Felix Brinkmann} baila en una fiesta de cumplea�os de 2008. ""No era el tipo de hombre que ten�a enemigos"", dice su hijo.",
33b20a1663b0ba72ce0ac02cbe63cf0c2f54b7e8.6,"The group will be performing both Spinal Tap and {Folksmen} songs, though, Shearer adds, ""{we'll be} doing these songs kind of in a different way because we're approaching them as ourselves and not as these characters.""",Who had they been before ?,Folksmen,"Sin embargo, el grupo estar� interpretando canciones de Spinal Tap y {Folksmen}, agrega Shearer, ""{estaremos} haciendo estas canciones de una manera diferente porque nos estamos acercando a ellas como a nosotros mismos y no como a estos personajes"".",
c50e5e42961a00c77ad5ced06828d461d339448b.4,"The 52-page report, published Sunday, documented instances in which relatives said they had been detained for up to {21 days} for trying to get answers from officials.",How long will it take to locate the rest of the missing children ?,21 days,"El informe de 52 p�ginas, publicado el domingo, document� casos en los que familiares dijeron que hab�an estado detenidos hasta {21 d�as} por tratar de obtener respuestas de funcionarios.",
cc54a42ae756fa5bddda37e91948149793bd072b.1,"To be sure, Sotomayor has a compelling story: {a daughter of working-class Puerto Ricans raised in Bronx public housing projects, diagnosed with diabetes at 8, losing} her father at 9, accolades at Princeton and Yale Law, ending up on the federal bench.",What does he say her life story is ?,"a daughter of working-class Puerto Ricans raised in Bronx public housing projects , diagnosed with diabetes at 8 , losing","Sin duda, Sotomayor tiene una historia convincente: {una hija de puertorrique�os de clase trabajadora criados en proyectos de vivienda p�blica del Bronx, diagnosticada con diabetes a los 8 a�os, perdiendo} a su padre a los 9 a�os, reconocimientos en Princeton y Yale Law, terminando en el banco federal.",
e66546893c2fa5fe38be74e1d1ed104f0c412b4d.7,"(CNN) -- Authorities in Azerbaijan recently uncovered a radical Islamic terror plot against the U.S. Embassy in the capital, Baku, prompting the facility to close its doors to the public {Monday}, Azerbaijan and U.S. officials told CNN.",When will the embassy shut down ?,Monday,"(CNN) -- Las autoridades de Azerbaiy�n descubrieron recientemente un plan terrorista isl�mico radical contra la Embajada de Estados Unidos en la capital, Bak�, lo que provoc� que la instalaci�n cerrara sus puertas al p�blico el {lunes}, seg�n informaron funcionarios de Azerbaiy�n y Estados Unidos a CNN.",
f622e590a590bcf9dd6df099cb8601f96b5a378b.2,"In fact, when discussing the future of the airport it is now appropriate to consider both conventional air travel hubs we are familiar with, as well as the imminent '{spaceports}'.",what airports are likely to see in future ?,spaceports,"De hecho, al discutir el futuro del aeropuerto, ahora es apropiado considerar tanto los centros de viajes a�reos convencionales con los que estamos familiarizados, como los inminentes ""{puertos espaciales}"".",
b726b1e5bbbab54b0e5c70dbb4d6ad4c8aaa8aaa.6,Residents from the region shared {tales of tragedy} and survival on Saturday evening.,What did survivors share ?,tales of tragedy,Los residentes de la regi�n compartieron {historias de tragedia} y supervivencia el s�bado por la noche.,
a78df7e6960e7770a4064f1399c7c22d61c9fa84.7,"For example, automobile mileage: The new rate for 2009 is {55 cents}. Make sure you get that one correct.",What is the new deduction rate ?,55 cents,"Por ejemplo, el kilometraje del autom�vil: La nueva tarifa para 2009 es de {55 centavos}. Aseg�rese de obtener que uno correcto.",
f06d91f46326752b02cdc48e8fa472dcc38a0846.3,"Al-Jazirah newspaper quoted a Saudi Justice Ministry official saying {King Abdullah issued a royal pardon Monday} -- the same day that the Hajj, the annual Muslim pilgrimage to Mecca, begins in Saudi Arabia.",What did the justice mister say ?,King Abdullah issued a royal pardon Monday,"El peri�dico Al-Jazirah cit� a un funcionario del Ministerio de Justicia saud� diciendo que el {Rey Abdullah emiti� un indulto real el lunes}, el mismo d�a que el Hajj, la peregrinaci�n musulmana anual a La Meca, comienza en Arabia Saudita.",
e304d29c9c9050ddd7231c50f581d5588e7572c9.6,{Learning the fundamentals of fly-fishing} can serve as a metaphor for health care reform. Obama just needs to look at hooking and landing Blue Dog Democrats and Republicans like he would trout.,CNN White House producer uses what as a metaphor that fits Obama 's presidency ?,Learning the fundamentals of fly-fishing,{Aprender los fundamentos de la pesca con mosca} puede servir como una met�fora para la reforma del cuidado de la salud. Obama s�lo tiene que mirar el anzuelo y aterrizaje Blue Dog Democrats y Republicanos como �l truchar�a.,
c39ba027fbeaa057272d28eecbae9a57bd9f8599.9,"In his speech Saturday, Obama called the situation for many blacks ""heartbreaking, and it's frustrating."" But he also touted achievements of his administration -- such as on the earned income tax credit, anti-foreclosure programs and consumer financial protections -- for making a difference, while admitting {more work lies ahead}.","Obama stresses `` fairness , '' while admitting what ?",more work lies ahead,"En su discurso del s�bado, Obama llam� a la situaci�n de muchos negros ""quebradizos, y es frustrante"", pero tambi�n adelant� los logros de su administraci�n, como el cr�dito al impuesto sobre la renta ganado, los programas contra la hipoteca y las protecciones financieras de los consumidores, por marcar la diferencia, mientras admite que {queda m�s trabajo por delante}.",
f35b1063bfbbe4208afcf657c1131bdcbde0016a.8,"{Another Liberty pilot} who was refueling at a nearby heliport told NTSB investigators that he saw the plane approach the helicopter and tried to warn the helicopter pilot, but got no response, Hersman said.",Who tried to warn the helicopter ?,Another Liberty pilot,"{Otro piloto de Liberty} que estaba reabasteciendo combustible en un helipuerto cercano dijo a los investigadores de NTSB que vio el avi�n acercarse al helic�ptero e intent� advertir al piloto del helic�ptero, pero no obtuvo respuesta, dijo Hersman.",
9ea356a682fa803869e65029dbcb81c0df42b7c4.7,"{Fifteen years ago Wednesday}, at a house adjacent to the park, Kurt Cobain's dead body was discovered by an electrician.",When did Kurt Cobain die ?,Fifteen years ago Wednesday,"{Hace quince a�os, el mi�rcoles}, en una casa adyacente al parque, el cad�ver de Kurt Cobain fue descubierto por un electricista.",
d13dabfde1e2751097cf51cb5dac9e107b52e010.6,"{Ayatollah Ali Khamenei}, Iran's supreme leader for two decades, took the stage during Friday prayers at Tehran University with a few notes on small pieces of paper in his left hand. He leaned on the lectern with his right arm, crippled in an 1981 assassination attempt.",Who sermonized about the dangers of diviosn and disunity ?,Ayatollah Ali Khamenei,"El {ayatol� Ali Khamenei}, el l�der supremo de Ir�n durante dos d�cadas, tom� el escenario durante las oraciones del viernes en la Universidad de Teher�n con unas cuantas notas en peque�os pedazos de papel en su mano izquierda. Se apoy� en el atril con su brazo derecho, lisiado en un intento de asesinato de 1981.",
43a7b8337743fe0f66d1e582635f69f9ec8f37b9.2,{Designer Azza Fahmy} consults her daughters on jewelry designs in her Cairo studio.,Who takes CNN on a tour of Cairo ?,Designer Azza Fahmy,{La dise�adora Azza Fahmy} consulta a sus hijas sobre dise�os de joyas en su estudio de El Cairo.,
83fd5139aeb02fd7bc0b40785369a21b09af99b1.3,"Meanwhile, people were throwing {Molotov cocktails}, rocks and glass.",what was thrown ?,Molotov cocktails,"Mientras tanto, la gente lanzaba {c�cteles Molotov}, rocas y vidrios.",
09021f668bd30a632e1abf651fa8744b82f4e9f0.5,"Bangkok, Thailand (CNN) -- {Thailand's prime minister} acknowledged on Sunday he did not expect protesters would use weapons and apply violence toward authority.",who did not expect the protesters ?,Thailand 's prime minister,"Bangkok, Tailandia (CNN) -- {El primer ministro de Tailandia} reconoci� el domingo que no esperaba que los manifestantes usaran armas y aplicaran violencia hacia la autoridad.",
75a898dfd0d1999e6b51c2f30d86ab0745bef182.3,"Autism is described on the National Institutes of Health Web site as a ""developmental disorder that appears in the first three years of life, and affects the brain's normal development of social and communication skills."" According to the Centers for Disease Control and Prevention, autism and related disorders affect {about one out of every 150 babies born each year}.",How many children are affected by autism and related disorders ?,about one out of every 150 babies born each year,"El autismo se describe en el sitio web de los Institutos Nacionales de Salud como un ""trastorno del desarrollo que aparece en los primeros tres a�os de vida y afecta el desarrollo normal del cerebro de las habilidades sociales y de comunicaci�n"".Seg�n los Centros para el Control y la Prevenci�n de Enfermedades, el autismo y los trastornos relacionados afectan a {aproximadamente uno de cada 150 beb�s nacidos cada a�o}.",
16d0e9810a29b4f6eef2d480785db3db845b6c00.5,"Miley Cyrus stars as Hannah Montana -- and {Miley Stewart} -- in ""Hannah Montana: The Movie.""",What is Hannah 's opposite ?,Miley Stewart,"Miley Cyrus protagoniza Hannah Montana -- y {Miley Stewart} -- en ""Hannah Montana: The Movie"".",
aea0ea7033300668312bb68162a6b0d70739e48c.9,"""{Every man over the age of 50} should have a PSA test (a blood test for prostate cancer) and that just gives you some indication of whether you have prostate problems.""",Who should be tested ?,Every man over the age of 50,"""{Cada hombre mayor de 50 a�os} debe someterse a una prueba de PSA (una prueba de sangre para el c�ncer de pr�stata) y eso solo le da alguna indicaci�n de si tiene problemas de pr�stata"".",
e8dc2b04eca76ad685596c005bb098d87b68de09.1,"Early risers can waste no time in immersing themselves in Sydney's cultural highlights. At 7:00am, {the Sydney Opera House hosts tours for just eight people to backstage areas normally off-limits} to theatre-goers. At $100 per person, the two-hour tour is not a budget option but it does include breakfast. Be warned, the tour includes 300 steps.",what can you do at the opera house in sydney,the Sydney Opera House hosts tours for just eight people to backstage areas normally off-limits,"A las 7:00 a.m., {la �pera de Sydney acoge tours para solo ocho personas en �reas de backstage normalmente fuera de los l�mites} de los espectadores. A $100 por persona, el tour de dos horas no es una opci�n econ�mica pero incluye desayuno. Tenga en cuenta que el tour incluye 300 pasos.",
d723aa4771e74e1518e74adefd10aa849ea35883.8,(CNN) -- Floyd Mayweather Jr. has said he is ready to make the big-money fight with newly crowned {WBO welterweight world} champion Manny Pacquiao happen.,What is Pacquiao a champion in ?,WBO welterweight world,(CNN) -- Floyd Mayweather Jr. ha dicho que est� listo para hacer la pelea de dinero grande con el reci�n coronado campe�n {mundial de peso welter de la OMB} Manny Pacquiao.,
fc06961adeeb3f5062fb4e2d79daf48e3e285173.7,"WASHINGTON (CNN) -- The United States will provide ${73 million} in aid to Zimbabwe, President Obama announced Friday after meeting with Zimbabwe Prime Minister Morgan Tsvangirai at the White House.","In total , how much will be aid offered from President Obama to Zimbabwe ?",73 million,"WASHINGTON (CNN) -- Estados Unidos proporcionar� ${73 millones} en ayuda a Zimbabue, anunci� el presidente Obama el viernes despu�s de reunirse con el primer ministro de Zimbabue, Morgan Tsvangirai, en la Casa Blanca.",
7b4cd87ea720db964261ca611f23b0fb5ef25c03.8,"Sandusky was arrested Wednesday and charged with {four counts of involuntary deviate sexual intercourse and two counts of unlawful contact with a minor}, allegedly involving two men who were boys at the time of the encounters.",On what charges has been accused Sandusky ?,four counts of involuntary deviate sexual intercourse and two counts of unlawful contact with a minor,"Sandusky fue arrestado el mi�rcoles y acusado de {cuatro cargos de relaciones sexuales involuntarias y dos cargos de contacto ilegal con un menor}, presuntamente envueltos en dos hombres que eran ni�os en el momento de los encuentros.",
6461a1e73b16025710d504ebb2632e4be937b66b.2,(Oprah.com) -- Look for the actress in ABC's new drama Pan Am -- as well as on the couch reading {books} rich in imagination.,What impacted Riccis life,books,(Oprah.com) -- Busca a la actriz en el nuevo drama de ABC Pan Am -- as� como en el sof� leyendo {libros} ricos en imaginaci�n.,
36396075809674f7e5279953e9b886f488b765c7.8,Leading the campaign is CEO {Yong Nam} who took on the top job in January.,Who is the CEO of LG Electonics ?,Yong Nam,"El director ejecutivo de la campa�a, {Yong Nam}, asumi� el primer puesto en enero.",
33afb8dc74a6a3c9661a6e190693706c5daa6de8.8,"He said Haustein, who is also the mayor of the {village Deutschneudorf}, where the digging is taking place, told him he wanted to make the expedition more credible by calling in the scientists. See photos from hunt for lost Nazi gold �",Where is the location of the dig ?,village Deutschneudorf,"Dijo que Haustein, que tambi�n es el alcalde del {pueblo Deutschneudorf}, donde se est� realizando la excavaci�n, le dijo que quer�a hacer la expedici�n m�s cre�ble llamando a los cient�ficos. Ver fotos de la b�squeda de oro nazi perdido �",
83c4fea1ef9c6d25896ce00ad71e34d710d9bf73.1,"The storm {knocked out power to nearly 240,000 homes and businesses in New York, New Jersey and Pennsylvania, slowed traffic and could prompt authorities to cancel up to 1,000 flights at airports serving New York and New Jersey}.",What did it affect,"knocked out power to nearly 240,000 homes and businesses in New York , New Jersey and Pennsylvania , slowed traffic and could prompt authorities to cancel up to 1,000 flights at airports serving New York and New Jersey","La tormenta {dej� sin electricidad a casi 240.000 hogares y negocios en Nueva York, Nueva Jersey y Pennsylvania, ralentiz� el tr�fico y podr�a impulsar a las autoridades a cancelar hasta 1.000 vuelos en los aeropuertos que sirven a Nueva York y Nueva Jersey}.",
2752ca369e240be018b1fd0c59b13949992758a8.7,"(CNN) -- At 51 years of age, Polish prime minister {Donald Tusk} has come a long way. As part of the Kashubian minority living in the Gdansk Region, he was born to working-class parents -- his father a carpenter and his mother a nurse.",Who became Prime Minister of Poland after 1997 election ?,Donald Tusk,"(CNN) -- A los 51 a�os de edad, el primer ministro polaco {Donald Tusk} ha recorrido un largo camino. Como parte de la minor�a kashubiana que vive en la regi�n de Gdansk, naci� de padres de clase trabajadora - su padre un carpintero y su madre una enfermera.",
6fdb0518891da3834a366311b3bba4f49a47b5f7.6,"{None of the bodies has been identified}, and the genders of only two -- those found on the third floor -- have been determined, he said. Both were female.",how many bodies was identified,None of the bodies has been identified,"{Ninguno de los cuerpos ha sido identificado}, y los g�neros de s�lo dos -- los encontrados en el tercer piso -- han sido determinados, dijo. Ambos eran mujeres.",
a7417b03249d4920d6cb27436de61d8376e36c39.8,"Washington (CNN) -- {Rep. Gabrielle Giffords} joined about 50 dignitaries and family members Thursday in Washington to mark the retirement of her husband, Capt. Mark Kelly, from the U.S. Navy.",Who is Kelly 's wife ?,Rep. Gabrielle Giffords,"Washington (CNN) -- {La representante Gabrielle Giffords} se uni� a unos 50 dignatarios y familiares el jueves en Washington para conmemorar el retiro de su esposo, el capit�n Mark Kelly, de la Marina de los Estados Unidos.",
cb4d9e9f65ed7525659625cd908476bb4a0f175d.9,"The trial against Knox and her Italian former boyfriend, {Raffaele Sollecito}, 24, began January 16 in Perugia, a university town about 185 kilometers (115 miles) north of Rome.",Who else faces murder charges ?,Raffaele Sollecito,"El juicio contra Knox y su ex novio italiano, {Raffaele Sollecito}, de 24 a�os, comenz� el 16 de enero en Perugia, una ciudad universitaria a unos 185 kil�metros (115 millas) al norte de Roma.",
5eba99da2324972d81fc6f084febbdfcab1a4321.8,"What really hurts, however, is exactly who in America qualifies as living in poverty. Because of the social safety nets in place, relatively few people over 64 are very poor (9%). Children, on the other hand, suffer greatly. About 22% of Americans under 18 live in poverty. Let me say that again: {More than one in five children in the United States is living in poverty}. Children account for more than one-third of all such people in the U.S. right now.",What must be faced when deciding how to save government money ?,More than one in five children in the United States is living in poverty,"Lo que realmente duele, sin embargo, es exactamente qui�n en Estados Unidos califica como que vive en la pobreza. Debido a las redes de seguridad social existentes, relativamente pocas personas mayores de 64 a�os son muy pobres (9%). Los ni�os, por otro lado, sufren mucho. Alrededor del 22% de los estadounidenses menores de 18 a�os viven en la pobreza. Perm�teme repetir que: {M�s de uno de cada cinco ni�os en los Estados Unidos vive en la pobreza}. Los ni�os representan m�s de un tercio de todas estas personas en los Estados Unidos en este momento.",
d69d50059c96bd729e9e4c54eee7901d43c0181d.9,"The {new law stops a 10.6 percent cut in Medicare payments to doctors}, part of a scheduled cost-saving formula that went into effect July 1.",What has the house voted on ?,new law stops a 10.6 percent cut in Medicare payments to doctors,"La {nueva ley detiene un recorte del 10,6% en los pagos de Medicare a los m�dicos}, parte de una f�rmula de ahorro de costos programada que entr� en vigor el 1 de julio.",
b3fda9033577d6f0aafb18447d77b860dfccd745.2,"Gen. George Casey, the Army's chief of staff, added, ""{Grieve with us. Don't grieve for us}.""",What were the Army 's comments about soldiers who died on base ?,Grieve with us . Do n't grieve for us,"El general George Casey, jefe de Estado Mayor del Ej�rcito, a�adi�: ""{Grieve con nosotros, no te entristezcas por nosotros}"".",Grieve no est� traducido. 
fa289c3316fc287310b14c27351fc6b02caa284f.6,"(The Frisky) -- Recently, I discovered that one of my best friends had ditched me after I logged onto {Facebook} and found her profile had disappeared from my page.",Where did the author get ditched ?,Facebook,"(The Frisky) -- Recientemente, descubr� que uno de mis mejores amigos me hab�a abandonado despu�s de conectarme a {Facebook} y encontr� que su perfil hab�a desaparecido de mi p�gina.",
78369580451f780dfc8543dd9bd842691ddaed92.7,"Grant surrendered to police after detectives contacted him, the statement said. He faces {child abuse} charges. The incident remains under investigation, authorities said.",What charges does the teacher face ?,child abuse,"Grant se entreg� a la polic�a despu�s de que los detectives lo contactaran, dijo la declaraci�n. Se enfrenta a cargos de {abuso infantil}.",
7d5bd0413ddf9efde7f0aa7069f2dfa9fefe9fcc.2,"{The Salwen} family of Atlanta, Georgia, has decided to sell this house and give half the proceeds to charity.",What family tries to sell their mansion ?,The Salwen,"La familia {Salwen} de Atlanta, Georgia, ha decidido vender esta casa y dar la mitad de los ingresos a la caridad.",
7e99e9688e7bf2b8bccdaecb646d950ff5282ce8.3,"Paul and Brandy Romero advertised that they were selling their pet cockatoo for ${1,500}.",How much did the cockatoo sell for ?,1500,"Paul y Brandy Romero anunciaron que estaban vendiendo su cacat�a de mascota por ${1,500}.",
f51a6d4b4afa825df35e6a77b602ccb06f7e081c.6,"Gist pointed out that the school's graduation rate is 48 percent, and ""only {7 percent} of the students are proficient in mathematics.""",What percentage of the school 's student 's are not proficient in math ?,7 percent,"Gist se�al� que la tasa de graduaci�n de la escuela es del 48 por ciento, y ""s�lo el {7 por ciento} de los estudiantes son competentes en matem�ticas"".",
9f67cd5c3d03f3493a126fb6d9ef0813fd7b53f0.1,Egyptain President Hosni Mubarak will visit the White House on {Tuesday}.,When will Mubarak visit the White House ?,Tuesday,El presidente egipcio Hosni Mubarak visitar� la Casa Blanca el {martes}.,
101309778895e6ca14fca581352735a07b9fc6f7.3,Russia's Defense Ministry said Tuesday that there was {no violation of flight regulations} during the incident. A ministry official said the flights are standard operating procedure for air force training.,What says the Russia 's Defense Ministry ?,no violation of flight regulations,El Ministerio de Defensa de Rusia dijo el martes que {no hubo violaci�n de las regulaciones de vuelo} durante el incidente. Un funcionario del ministerio dijo que los vuelos son un procedimiento operativo est�ndar para el entrenamiento de la fuerza a�rea.,
4681d0f113a8a5fb7b0428d90264eccccb4e0c04.4,"You may get some bargains after Christmas, but {if you want really rock-bottom prices, wait until January 5. Retailers are going to be stuck with massive amounts of goods and those will be reduced to fire sale prices}. If you have money that you can afford to part with, get out there the first full week of the New Year. Everything from electronics to clothing to appliances to furniture will be a deal.",what are the bargains after christmas ?,"if you want really rock-bottom prices , wait until January 5 . Retailers are going to be stuck with massive amounts of goods and those will be reduced to fire sale prices","Usted puede obtener algunas gangas despu�s de Navidad, pero {si usted quiere precios realmente rock-bottom, espere hasta el 5 de enero. Los minoristas van a estar atascados con cantidades masivas de bienes y �sos ser�n reducidos a los precios de la venta del fuego.} Si usted tiene dinero que usted puede darse el lujo de separarse con, salir all� la primera semana completa del A�o Nuevo. Todo desde la electr�nica, ropa, electrodom�sticos a muebles ser� un trato.","Mala traducci�n. Rock-bottom, muy bajos. Fire sale prices, disparar los precios de venta. "
182a90328cea3d382f90a2e5e1b4083d3eab538e.9,"The Joint, which holds {4,000}, opens next month with Paul McCartney in a show that sold out earlier this month in just seven seconds.",How many seats are in the new concert hall ?,4000,"El Joint, que tiene {4.000}, abre el pr�ximo mes con Paul McCartney en un show que se agot� a principios de este mes en s�lo siete segundos.",
d929a1d4a9dc204e88eac83f499f945438dbff9b.6,"Actors {Billy Zane and Sharon Stone}, with Ted Alemayhu and Jean Stephane Biatcha, help announce the summit.",Which celebrities are going to attend ?,Billy Zane and Sharon Stone,"Los actores {Billy Zane y Sharon Stone}, con Ted Alemayhu y Jean Stephane Biatcha, ayudan a anunciar la cumbre.",
55e36521ef1cd28dcfe4119bdebc7ced67ebe0f3.4,"That's what Emmy-winning TV writer Paul Dini did in creating ""{Batman: Arkham Asylum},"" a video game coming out in late August. Buzz is building online for the dark, cinematic game, which reimagines a brooding Batman and his most notorious nemesis, the Joker, for an experience that's reminiscent of ""The Dark Knight"" blockbuster movie.",What video game is upcoming ?,Batman : Arkham Asylum,"Eso es lo que hizo el escritor de televisi�n Paul Dini, ganador de Emmy, al crear ""{Batman: Arkham Asylum}"", un videojuego que sale a finales de agosto. Buzz est� construyendo en l�nea para el oscuro y cinematogr�fico juego, que reinventa a Batman y su m�s notorio n�mesis, el Guas�n, para una experiencia que recuerda a la pel�cula de ""El Caballero Oscuro"".",
913d6933eced023f5f937c8ce799a4da52f7a94b.6,"(CNN) -- Flooding and resulting landslides killed 137 people Thursday and Friday in this nation's {northern} provinces, including Baguio City, Benguet Province and Mountain Province, the Office of Civil Defense in Cordillera said Friday.","Bayambang , Alcala and Basista are the worst hit areas in which Province ?",northern,"(CNN) -- Inundaciones y deslizamientos de tierra resultantes mataron a 137 personas jueves y viernes en las provincias del {norte} de esta naci�n, incluyendo la ciudad de Baguio, la provincia de Benguet y la provincia de monta�a, dijo el viernes la Oficina de Defensa Civil en Cordillera.",
7fb5f53e09871ffa955f8145d835630422ed73fe.3,{Dutchman Sneidjer} scored the only goal of the game in the sixth minute when his low-free-kick deceived goalkeeper Igor Akinfeev after his defensive wall jumped in unison -- allowing the shot to go underneath them.,Who scored the only goal as Inter defeat CSKA Moscow 1-0 ?,Dutchman Sneidjer,"{El holand�s Sneidjer} anot� el �nico gol del partido en el sexto minuto cuando su portero Igor Akinfeev, que era un jugador de bajo nivel, lo enga�� despu�s de que su muro defensivo saltara al un�sono, permitiendo que el disparo fuera por debajo de ellos.",
0ae58a5b4ad10ec89e92c0948db76ca2105cca6d.3,"According to India's foreign ministry, Kasab, 21, stated in his letter that he and the other {attackers were from Pakistan} and asked for a meeting with Pakistan's High Commission.",is he a pakastani citizen ?,attackers were from Pakistan,"Seg�n el Ministerio de Relaciones Exteriores de la India, Kasab, de 21 a�os, declar� en su carta que �l y los otros {atacantes eran de Pakist�n} y pidi� una reuni�n con la Alta Comisi�n de Pakist�n.",
6077f993fa07f5fbc2fd6ba4da339410c3cdeb27.6,But House Majority Leader {Steny} Hoyer admitted Tuesday that the protests and rallies by the Tea Party across the country are having an impact on lawmakers' decisions about running for another term.,What is Hoyer 's first name ?,Steny,Pero el l�der de la mayor�a de la C�mara {Steny} Hoyer admiti� el martes que las protestas y manifestaciones del Tea Party en todo el pa�s est�n teniendo un impacto en las decisiones de los legisladores sobre postularse para otro mandato.,
d3b3bcf90226a694361cb27f1a4d481c79b7368a.7,"The storm made its way over land and was expected to weaken, but the center said the storm could re-emerge in the Gulf of Mexico and regain intensity {Sunday}.",When is the storm expected to reappear ?,Sunday,"La tormenta sobrevol� tierra y se esperaba que se debilitara, pero el centro dijo que la tormenta podr�a volver a surgir en el Golfo de M�xico y recuperar la intensidad el {domingo}.",
b38849a4198db972896a14d9e1608592dd7781c8.4,"(CNN) -- What appears to be the outline of a child in a fetal position can be seen in a photograph of the trunk liner from the car driven by Casey Anthony, a Florida woman {charged with killing her 2-year-old daughter}, according to documents released in the case.",What allegation has been accused Casey Anthony ?,charged with killing her 2-year-old daughter,"(CNN) -- Lo que parece ser el contorno de un ni�o en posici�n fetal se puede ver en una fotograf�a del ba�l del coche conducido por Casey Anthony, una mujer de Florida {acusada de matar a su hija de 2 a�os}, seg�n documentos publicados en el caso.",
b64e27ab24a091685acc6f89a0ebb1d639d13d69.2,"(CNN) -- Previously missing police records on the 1986 shooting death of the brother of Alabama professor {Amy Bishop} -- accused of gunning down her colleagues last week -- have been found, and investigators said Tuesday they back a state police report that deemed the shooting an accident.",who he was accused of killing their colleagues in Alabama,Amy Bishop,"(CNN) -- Se han encontrado registros policiales previamente desaparecidos sobre la muerte del hermano del profesor {Amy Bishop} de Alabama, acusado de matar a tiros a sus colegas la semana pasada, y los investigadores dijeron el martes que respaldan un informe de la polic�a estatal que consider� el tiroteo como un accidente.",
d9a0c37c3c87e36ed07629a332b2f35da173bbe4.7,"In those days, the {whiskey} went by the less-catchy moniker of ""Old Tub.""",What type of spirit was called `` Old Tub '' ?,whiskey,"En esos d�as, el {whisky} pas� por el apodo menos pegadizo de ""Viejo Tub"".",
219f36ec86b2212f8814df6fdffd30d8073b5cb8.7,"""To change {public opinion in Turkey} is a long-term affair,"" argued Kemal Koprulu, the founder of Ari Movement, an Istanbul-based nongovernmental organization that focuses on promoting youth participation in civil society. ""There is no way that the election of a president and several nice statements from a State Department spokesman will change dramatically the {public opinion in Turkey}.""",President Obama tried to change what in April ?,public opinion in Turkey,"""Cambiar {la opini�n p�blica en Turqu�a} es un asunto a largo plazo"", sostuvo Kemal Koprulu, fundador de Ari Movement, una organizaci�n no gubernamental con sede en Estambul que se centra en promover la participaci�n de los j�venes en la sociedad civil. ""No hay manera de que la elecci�n de un presidente y varias declaraciones agradables de un portavoz del Departamento de Estado cambien dr�sticamente la opini�n p�blica en Turqu�a"".",
db58112ebd4ce59d875cc908ba9745a906b0cda4.3,"(CNN) -- In a videotaped interrogation with Peruvian police broadcast Monday, {Joran van der Sloot} admitted that he hit, strangled and ultimately killed a 21-year-old woman last year in his Lima hotel room.",Who confesses to killing Stephany Flores ?,Joran van der Sloot,"(CNN) -- En un interrogatorio grabado en v�deo con la polic�a peruana transmitido el lunes, {Joran van der Sloot} admiti� que golpe�, estrangul� y finalmente mat� a una mujer de 21 a�os el a�o pasado en su habitaci�n de hotel de Lima.",
02a10e3adde1d51286218cfd3e3b8d3a7697b5a1.3,"And he distanced himself from criticism of the media by senior Vatican officials, saying the most important attacks on the church don't come from the outside, they come from the {sins of the members of the church}, CNN senior Vatican analyst John Allen said.",where does the most serious attacks come from ?,sins of the members of the church,"Y se distanci� de las cr�ticas a los medios por parte de altos funcionarios del Vaticano, diciendo que los ataques m�s importantes a la iglesia no vienen del exterior, vienen de {los pecados de los miembros de la iglesia}, dijo el analista principal del Vaticano de CNN, John Allen.",
b31aaf23e9f419f07932dd0569dee5ecddeb447c.4,"JERUSALEM (CNN) -- Israeli President Shimon Peres on Tuesday stressed {the need for a two-state solution} in the quest for Israeli-Palestinian peace, a position out of step with the current Israeli government.",What is the opinion of the president of Israel ?,the need for a two-state solution,"JERUSALEM (CNN) - El presidente israel� Shimon Peres destac� el martes {la necesidad de una soluci�n de dos Estados} en la b�squeda de la paz israelo-palestina, una posici�n fuera de paso con el actual gobierno israel�.",
